class,counts,accuracy
Access to Services,2823,0.7293659227771874
Care/ Treatment,2175,0.5154022988505748
Communication,1806,0.7153931339977851
Couldn't be improved,6619,0.9644961474542982
Environment/Facilities,864,0.7349537037037037
Equality/Diversity,3,0.0
Food,323,0.804953560371517
Involvement,118,0.3898305084745763
Leave,78,0.5897435897435898
MHA,14,0.0
Physical Health,10,0.0
Privacy and Dignity,171,0.5964912280701754
Record Keeping,16,0.125
Safety,36,0.2222222222222222
Service Quality/Outcomes,493,0.2515212981744422
Smoking,56,0.875
Staff/Staff Attitude,1504,0.6416223404255319
