super,improve
Communication,The letter I received although largely accurate two comments were not correct
Couldn't be improved,Nothing 
Access to Services,more play groups
Couldn't be improved,I think nothing could of been done better it was perfect every session
Couldn't be improved,I think its spot on 100
Care/ Treatment,Throughly enjoyed the sessions Could add a little variety to the Baby Babble classes
Couldn't be improved,Nothing
Access to Services,My referral from GP was refused because I wasnt the right age  GP personally wrote a referral request  This made me feel that I wasnt able to get support  Thanks to a change in my meds I was able to improve
Access to Services,The range of treatments and waiting times is not up to scratch other services that are in junction with this one are not as effective and you can often feel like you are being thrown to the wolves when at your most vulnerable point I would hope that any future patients and especially adolescences can be treated with more respect and compassion by the system instead of being treated just as a number
Couldn't be improved,Nothing
Communication,The doctor who handed our son into A42 from the A and E department didnt know the protocol in the ward He told my wife and I incorrect information about the Ward A42 which made the situation more difficult for us to handle He needs correct training about the QMC Ward Thank you
Couldn't be improved,Nothing to improve
Couldn't be improved,I doubt whether better care could be provided Carers were always friendly and polite
Access to Services,I waited too long for some one to see me so it would be good if this could improve
Couldn't be improved,Nothing you do so well  Selina
Communication,Improving communications between the various NHS departments involved
Access to Services,Sometimes we have to wait at the intercom longer than it should be ie 10 minutes
Couldn't be improved,I have found this form of treatment extremely effective and would hope that it could be offered to all who would benefit rather than randomly chosen few
Communication,Better sign posting towards the service
Access to Services,For there to be more appointments  If I am still not well after the 2nd appointment I will still be discharged  This is a shame really
Communication,Make sure information is correct before telling a patient and avoiding disappointment eg going home day 
Care/ Treatment,Give me a treatment
Couldn't be improved,I can not think of anything
Care/ Treatment,To be able to change over to subutex to get off methadone and more gym because this keeps me motivated
Staff/Staff Attitude,Get back to the old system where 45 Community Nurses work in the same area and therefore patients have a relationship and improve much quicker and save on the budget
Staff/Staff Attitude,Nothing except more staff
Care/ Treatment,See us on weekly basis 
Care/ Treatment,Dont keep patients here longer 
Couldn't be improved,nothing could be done better
Staff/Staff Attitude,More staff
Couldn't be improved,Nothing
Care/ Treatment,Let patients know the time of visits
Care/ Treatment,More sport
Couldn't be improved,no improvement needed
Couldn't be improved,nothing
Couldn't be improved,Nothing
Couldn't be improved,nothing
Couldn't be improved,nothing
Communication,Listen to us more
Access to Services,More mummiesbabies
Communication,Effective communication non  Judgemental stance open  mindedness understanding of autism in adults 
Couldn't be improved,Could not have done anything better
Couldn't be improved,Nothing  exceptional service 
Couldn't be improved,Nothing 
Care/ Treatment,To be seen on time of appointment and that the reception desk has informed the phlebotomist we are here
Communication,More communication between members of staff and different departments
Care/ Treatment,Not a lot really Longer weeks   10 min breaks
Staff/Staff Attitude,The nursing staff were far too busy They must be very stressed themselves There needs to be more staff Also I left hospital and I feel abandoned the crisis team didnt call
Couldn't be improved,Could not do any better very satisfied
Couldn't be improved,Nothing                                                                                                                                                                                                                                                        
Couldn't be improved,Nothing
Couldn't be improved,Pretty spot on really
Couldn't be improved,Nothing
Couldn't be improved,Nothing I think the care has been outstanding
Access to Services,Faster access to CBT
Couldn't be improved,nothing
Couldn't be improved,Its all good
Care/ Treatment,Dont miss appointments If an appointment is cancelled a replacement one should be organised 
Communication,Listen more carefully to people and their needs
Staff/Staff Attitude,Too busy
Couldn't be improved,nothing to improve
Care/ Treatment,Increase individual approach ie care plan one to one time etc
Access to Services,More input
Care/ Treatment,Shorter wait for an appointment  waited nearly 6 weeks
Couldn't be improved,Absolutely nothing
Couldn't be improved,Nothing
Staff/Staff Attitude,Would be nice to see the same doctor each time
Involvement,I paid more attenion
Care/ Treatment,Just more time to talk because of the prison routine it can make it difficult to get the one to one time needed
Couldn't be improved,Nothing at the moment
Access to Services,Release patients quicker  
Couldn't be improved,Nothing really
Food,Food choice not so good
Communication,Better communication better complaint service                                                                                                                                                                                                                
Involvement,More input into everyday aspects of my care  Ward involvement CRB courses and planning and the opportunity to suggest new courses particularly vocational  Open days from external suppliers
Staff/Staff Attitude,To be treated with respect and dignity
Access to Services,GP was slow to get help for me
Couldn't be improved,Nothing
Couldn't be improved,Nothing  it went well
Care/ Treatment,Eveing appoinments
Couldn't be improved,I cant think of anything as this place has helped me so much move forward as well as when Ive been low 
Staff/Staff Attitude,More staff are needed 
Access to Services,longer courses
Access to Services,Offer a more frequent essential service  Geographically Bassetlaw stretches far and wide  This service is paramount to everyone and needs to continue and grow
Access to Services,The waiting times are too long Too many different assesments with no answers
Couldn't be improved,No not really 
Access to Services,Explain why X is no longer receiving support from city services
Couldn't be improved,Could not do anything better
Communication,Update facebook page with up to date whats on guide and regular group reminders
Staff/Staff Attitude,Better training for some staff I felt like a criminal because I was in there Younger activities
Care/ Treatment,As conditions are at present I think they are doing very well
Access to Services,Look at reducing waiting times for appointments
Leave,Letting me go earlier
Communication,would like help with bus fares to and from locations for Respatory course
Couldn't be improved,nothing
Couldn't be improved,Nothing Its good to have a nice person come and see me I think you are very nice and helpful
Couldn't be improved,Nothing
Care/ Treatment,I take a huge amount of medication daily which because of this prisons policy I have to take at a medication hatch at 0815 1130 1530 and my daily like including sleep patterns is disturbed greatly having to adapt to this In my previous prison I had all of my meds in posession and was able to stick to the regime worked out over a long period of time with my doctors surgeons consultants etc this being meds at 0800 1200 1700 2200 I was able to have more of an interactive life on this regime and would like to have that here
Couldn't be improved,Nothing perfect
Couldn't be improved,We could not fault any of your services
Staff/Staff Attitude,Access to medics as Nurses generally refer you to thembut I am at work when they are on the ward
Couldn't be improved,Excellent service throughout
Couldn't be improved,Nothing really good with patients
Access to Services,The process to were I am now to be a lot quicker
Care/ Treatment,make it not hurt
Communication,Better advertising as without my girl friend being pregnant I dont think I would have know about the service
Couldn't be improved,In my case there is nothing that can be improved
Communication,Not sure if its part of service but could offer more info about babys development guidlines
Couldn't be improved,nothing  
Couldn't be improved,nothing
Environment/Facilities,More and bigger chairs get an xbox and tv
Couldn't be improved,Whatever you do for me I have been satisfied
Staff/Staff Attitude,More staff Sometimes a language barrier
Couldn't be improved,no
Care/ Treatment,Dont come to early come after 12pm as im not up before then I would like to see my GP more with my concerns but when i ring they send the practice nurse 
Couldn't be improved,No room for improvement 
Service Quality/Outcomes,Tell us the types of STIs
Care/ Treatment,Not having to constantly put in repeat prescriptions It should be done automatically
Food,Improve food More outside time More choice  structure at a weekend
Staff/Staff Attitude,In the latter years lack of continuity of staff
Couldn't be improved,Would not change a thing
Couldn't be improved,Nothing
Access to Services,The space between appointments the changing of staff interferes with keeping a stable relationship not good if you hate change The system is lacking consistency and staff
Couldn't be improved,Nothing
Couldn't be improved,nothing
Couldn't be improved,Good
Staff/Staff Attitude,Treat us the same as you would treat your parent and your loved ones you XXXXXX
Communication,A bit more communication
Communication,Felt very computerised No emotions considering it was a psychiatric assessment
Couldn't be improved,I dont think you could improve because Im very satisfied wwith the help you provide
Access to Services,Open discussions with patient approval  More personal approach as some people may get more from this I feel that follow up at a later date to assess a patients ongoing improvement coping with lifes problems
Couldn't be improved,I could not think of anything
Staff/Staff Attitude,I am severely hindered by both patients and staff who dont seem to understand anything on purpose Poor
Care/ Treatment,a little bit longer Im not sure if I could come to talk at any time
Couldn't be improved,You cant do no  better than what you have done for me  thank you so much for your help 
Access to Services,My initial referral got lost in the system therefore had to wait longer for treatment and by this time I was in quite a state Please ensure that referrals are adequately monitored Following this all my experiences have been extremely positive 
Access to Services,Parent to be seen by dentist as I have problems with going
Environment/Facilities,The chairs
Safety,Get me off this ward unsafe
Access to Services,Wheel chair access and faster appointments It takes to long to see a dentist and we dont have a podiatrist on site yet
Couldn't be improved,Nothing you were great
Couldn't be improved,nothing
Environment/Facilities,Start at 9 more baby space
Food,Better meals
Couldn't be improved,Cannot improve on great service
Access to Services,Better post treatment guidance and recommendations for other ongoinbg support services
Couldn't be improved,Not a lot
Couldn't be improved,Nothing
Access to Services,Care is excellent unfortunately the service is under pressure more beds needed
Access to Services,More groups for 2 children
